CMDLINE ./a.out /MMCI/TM/scratch/ghaffari/experiments/grem/hgvg-filtered/vg/1000genomes-sv-filtered-af_ge_1/wg.vg
MEM 6763.964844 1594659083.0191
MEM 6763.964844 1594659083.1198
MEM 6763.964844 1594659083.2204
MEM 6763.964844 1594659083.3211
MEM 6763.964844 1594659083.4217
MEM 6766.726562 1594659083.5224
MEM 6924.269531 1594659083.6230
MEM 7088.238281 1594659083.7237
MEM 7251.433594 1594659083.8243
MEM 7416.433594 1594659083.9249
MEM 7582.722656 1594659084.0256
MEM 7749.527344 1594659084.1262
MEM 7917.105469 1594659084.2269
MEM 7924.433594 1594659084.3275
MEM 7555.761719 1594659084.4281
MEM 7730.816406 1594659084.5288
MEM 7850.957031 1594659084.6294
MEM 7967.746094 1594659084.7301
MEM 8088.660156 1594659084.8308
MEM 8212.667969 1594659084.9314
MEM 8337.964844 1594659085.0321
MEM 8462.488281 1594659085.1327
MEM 8587.164062 1594659085.2334
MEM 8708.449219 1594659085.3340
MEM 8075.964844 1594659085.4347
MEM 8077.250000 1594659085.5353
MEM 8079.054688 1594659085.6359
MEM 8081.375000 1594659085.7366
MEM 8081.375000 1594659085.8372
MEM 8085.757812 1594659085.9378
MEM 8085.757812 1594659086.0385
MEM 8090.914062 1594659086.1391
MEM 8098.132812 1594659086.2398
MEM 8107.156250 1594659086.3404
MEM 8113.085938 1594659086.4411
MEM 8116.695312 1594659086.5417
MEM 8119.242188 1594659086.6424
MEM 8128.875000 1594659086.7430
MEM 8139.960938 1594659086.8437
MEM 8144.601562 1594659086.9444
MEM 8144.851562 1594659087.0450
MEM 8164.445312 1594659087.1456
MEM 8172.695312 1594659087.2463
MEM 8176.304688 1594659087.3470
MEM 8179.656250 1594659087.4476
MEM 8183.265625 1594659087.5483
MEM 8186.617188 1594659087.6489
MEM 8188.679688 1594659087.7497
MEM 8198.734375 1594659087.8504
MEM 8210.078125 1594659087.9510
MEM 8212.140625 1594659088.0517
MEM 8212.140625 1594659088.1523
MEM 8226.320312 1594659088.2530
MEM 8229.671875 1594659088.3536
MEM 8229.671875 1594659088.4543
